id,title,author,author_nationality,genre,subgenre,language,pub_year,pages,publisher,isbn,series,series_number,rating,awards,description,keywords,cover_image_url
321,Broken Key,Benjamin Jones,Spanish,Children,Picture Book,Portuguese,2012,495,GreenLeaf,9787601013158,,,3.47,,A synthetic sample description generated for dataset testing and demonstrations.,"identity,crime,war",https://covers.openlibrary.org/b/isbn/9787601013158-L.jpg
322,Last City,Harper Miller,Australian,Thriller,Spy,Japanese,1970,301,Marea Editore,9781565881068,,,3.64,,A synthetic sample description generated for dataset testing and demonstrations.,"secrets,family,war",https://covers.openlibrary.org/b/isbn/9781565881068-L.jpg
323,Broken Thread,Benjamin Williams,Canadian,Mystery,Crime,Korean,1955,677,Oxford Press,9782444789277,,,3.67,,A synthetic sample description generated for dataset testing and demonstrations.,"war,family,adventure",https://covers.openlibrary.org/b/isbn/9782444789277-L.jpg
324,Last Lantern,Noah Wilson,Pakistani,Fantasy,Urban Fantasy,English,1952,450,Marea Editore,9786322338021,Series 14,5,3.7,,A synthetic sample description generated for dataset testing and demonstrations.,"technology,identity,war",https://covers.openlibrary.org/b/isbn/9786322338021-L.jpg
325,Silent Compass,Isabella Jackson,German,Mystery,Crime,Japanese,2011,626,Hachette,9781456765767,,,3.61,,A synthetic sample description generated for dataset testing and demonstrations.,"future,technology,crime",https://covers.openlibrary.org/b/isbn/9781456765767-L.jpg
326,Midnight Lantern,Mason Miller,Mexican,Nonfiction,Memoir,French,1950,376,Cosmos Press,9783902478054,,,4.03,,A synthetic sample description generated for dataset testing and demonstrations.,"love,identity,future",https://covers.openlibrary.org/b/isbn/9783902478054-L.jpg
327,Shadows Lantern,Aria Davis,Pakistani,Thriller,Spy,Portuguese,1960,775,Cambridge Press,9789521853159,,,3.84,,A synthetic sample description generated for dataset testing and demonstrations.,"love,secrets,future",https://covers.openlibrary.org/b/isbn/9789521853159-L.jpg
328,Silent City,Liam Wilson,Indian,Young Adult,Contemporary,Japanese,1972,567,Cosmos Press,9781279706046,,,4.55,,A synthetic sample description generated for dataset testing and demonstrations.,"history,family,war",https://covers.openlibrary.org/b/isbn/9781279706046-L.jpg
329,Silent Thread,James Lopez,British,Fiction,Contemporary,English,2003,874,Marea Editore,9788350580847,,,3.31,,A synthetic sample description generated for dataset testing and demonstrations.,"love,secrets,crime",https://covers.openlibrary.org/b/isbn/9788350580847-L.jpg
330,Silent River,Amelia Garcia,British,Fiction,Contemporary,Japanese,1977,546,Willow Books,9788637860686,,,3.74,,A synthetic sample description generated for dataset testing and demonstrations.,"redemption,future,technology",https://covers.openlibrary.org/b/isbn/9788637860686-L.jpg
331,Hidden River,Mason Johnson,Australian,Mystery,Crime,Spanish,1972,566,Bloomsbury,9789339078935,,,4.56,,A synthetic sample description generated for dataset testing and demonstrations.,"love,secrets,war",https://covers.openlibrary.org/b/isbn/9789339078935-L.jpg
332,Midnight Garden,Liam Anderson,Irish,Self-help,Personal Development,Japanese,1951,530,Hachette,9780748716357,,,3.66,,A synthetic sample description generated for dataset testing and demonstrations.,"redemption,future,mystery",https://covers.openlibrary.org/b/isbn/9780748716357-L.jpg
333,Hidden Lantern,Isabella Hernandez,Brazilian,Science Fiction,Near-future,Korean,2010,162,HarperCollins,9782552224172,,,4.36,,A synthetic sample description generated for dataset testing and demonstrations.,"identity,future,history",https://covers.openlibrary.org/b/isbn/9782552224172-L.jpg
334,Silent Garden,Henry Jackson,British,Historical Fiction,War-era,Korean,1983,255,Cosmos Press,9781519218582,,,3.72,,A synthetic sample description generated for dataset testing and demonstrations.,"family,mystery,love",https://covers.openlibrary.org/b/isbn/9781519218582-L.jpg
335,Silent Promise,Sophia Garcia,Japanese,Mystery,Crime,Chinese,1969,393,NeoPress,9784433096540,,,3.51,,A synthetic sample description generated for dataset testing and demonstrations.,"secrets,war,mystery",https://covers.openlibrary.org/b/isbn/9784433096540-L.jpg
336,Crimson Compass,Benjamin Williams,Chinese,Children,Picture Book,English,2023,510,Cosmos Press,9787581043336,,,3.95,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,magic,betrayal",https://covers.openlibrary.org/b/isbn/9787581043336-L.jpg
337,Broken City,Noah Martinez,Nigerian,Romance,Contemporary Romance,Japanese,1987,201,Willow Books,9787537532303,Series 30,4,3.45,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,crime,identity",https://covers.openlibrary.org/b/isbn/9787537532303-L.jpg
338,Last River,Henry Garcia,British,Historical Fiction,War-era,Portuguese,1972,815,Bloomsbury,9780266100300,,,4.01,,A synthetic sample description generated for dataset testing and demonstrations.,"mystery,betrayal,adventure",https://covers.openlibrary.org/b/isbn/9780266100300-L.jpg
339,Hidden City,Mason Gonzalez,Brazilian,Thriller,Spy,Japanese,2018,206,NovaWorks,9781765760347,Series 24,1,3.46,,A synthetic sample description generated for dataset testing and demonstrations.,"technology,future,family",https://covers.openlibrary.org/b/isbn/9781765760347-L.jpg
340,First Compass,Mia Miller,Italian,Fiction,Contemporary,Spanish,2024,361,Bloomsbury,9781201353188,Series 6,2,4.66,,A synthetic sample description generated for dataset testing and demonstrations.,"redemption,love,betrayal",https://covers.openlibrary.org/b/isbn/9781201353188-L.jpg
341,Crimson Key,James Wilson,Chinese,Science Fiction,Space Opera,Chinese,1971,538,HarperCollins,9785487911926,,,4.55,,A synthetic sample description generated for dataset testing and demonstrations.,"future,magic,identity",https://covers.openlibrary.org/b/isbn/9785487911926-L.jpg
342,Broken House,Sophia Taylor,Egyptian,Fiction,Contemporary,English,1962,210,Vintage,9788306088632,,,4.3,,A synthetic sample description generated for dataset testing and demonstrations.,"war,redemption,betrayal",https://covers.openlibrary.org/b/isbn/9788306088632-L.jpg
343,Broken Promise,Luna Anderson,Indian,Poetry,Modern,French,1982,588,GreenLeaf,9786733657124,Series 15,6,3.85,,A synthetic sample description generated for dataset testing and demonstrations.,"technology,crime,identity",https://covers.openlibrary.org/b/isbn/9786733657124-L.jpg
344,Golden City,Henry Williams,German,Nonfiction,Memoir,Italian,1966,686,Faber & Faber,9786741424824,,,4.41,,A synthetic sample description generated for dataset testing and demonstrations.,"secrets,family,betrayal",https://covers.openlibrary.org/b/isbn/9786741424824-L.jpg
345,Silent Promise,Mia Martinez,Korean,Fiction,Literary Fiction,Portuguese,1995,606,Faber & Faber,9786226939232,,,3.37,,A synthetic sample description generated for dataset testing and demonstrations.,"family,technology,future",https://covers.openlibrary.org/b/isbn/9786226939232-L.jpg
346,Silent Thread,Benjamin Thomas,Swedish,Young Adult,Contemporary,English,1972,236,Cambridge Press,9789005715300,,,3.73,,A synthetic sample description generated for dataset testing and demonstrations.,"future,war,secrets",https://covers.openlibrary.org/b/isbn/9789005715300-L.jpg
347,Shadows Thread,Ethan Brown,German,Self-help,Personal Development,Portuguese,1959,306,Cambridge Press,9785122623665,,,3.79,,A synthetic sample description generated for dataset testing and demonstrations.,"future,war,mystery",https://covers.openlibrary.org/b/isbn/9785122623665-L.jpg
348,Broken Thread,Liam Williams,Indian,Mystery,Crime,German,2014,598,GreenLeaf,9789116278954,,,3.56,,A synthetic sample description generated for dataset testing and demonstrations.,"history,crime,magic",https://covers.openlibrary.org/b/isbn/9789116278954-L.jpg
349,Midnight Orchard,Olivia Lopez,Italian,Young Adult,Contemporary,Italian,2003,578,Simon & Schuster,9783186811882,,,4.51,,A synthetic sample description generated for dataset testing and demonstrations.,"war,history,redemption",https://covers.openlibrary.org/b/isbn/9783186811882-L.jpg
350,Silent Lantern,Lucas Garcia,Chinese,Historical Fiction,War-era,Spanish,1970,261,Vintage,9789784969468,,,4.02,,A synthetic sample description generated for dataset testing and demonstrations.,"future,redemption,secrets",https://covers.openlibrary.org/b/isbn/9789784969468-L.jpg
351,Silent Key,Lucas Johnson,French,Historical Fiction,War-era,Chinese,1994,539,Praia Azul,9787888337237,,,4.46,,A synthetic sample description generated for dataset testing and demonstrations.,"future,identity,technology",https://covers.openlibrary.org/b/isbn/9787888337237-L.jpg
352,Last House,Aiden Gonzalez,Indian,Science Fiction,Space Opera,Chinese,1950,606,NovaWorks,9780284345325,Series 25,1,3.51,,A synthetic sample description generated for dataset testing and demonstrations.,"betrayal,family,magic",https://covers.openlibrary.org/b/isbn/9780284345325-L.jpg
353,Midnight Thread,Charlotte Martinez,German,Poetry,Modern,French,2008,801,Simon & Schuster,9786442600961,Series 17,2,3.49,,A synthetic sample description generated for dataset testing and demonstrations.,"war,future,identity",https://covers.openlibrary.org/b/isbn/9786442600961-L.jpg
354,Silent House,Noah Martin,Swedish,Mystery,Crime,French,2003,527,Oxford Press,9788633409766,Series 28,7,3.31,,A synthetic sample description generated for dataset testing and demonstrations.,"betrayal,secrets,technology",https://covers.openlibrary.org/b/isbn/9788633409766-L.jpg
355,First City,Liam Miller,Japanese,Fantasy,Epic Fantasy,English,2025,155,NeoPress,9785317605377,,,3.29,,A synthetic sample description generated for dataset testing and demonstrations.,"identity,crime,future",https://covers.openlibrary.org/b/isbn/9785317605377-L.jpg
356,Silent City,Henry Moore,Mexican,Science Fiction,Space Opera,Chinese,2013,757,Lotus Reads,9781420048933,,,3.29,,A synthetic sample description generated for dataset testing and demonstrations.,"mystery,magic,identity",https://covers.openlibrary.org/b/isbn/9781420048933-L.jpg
357,Crimson City,Harper Davis,Australian,Thriller,Spy,Korean,2009,606,Cambridge Press,9787044409921,,,3.76,,A synthetic sample description generated for dataset testing and demonstrations.,"identity,magic,technology",https://covers.openlibrary.org/b/isbn/9787044409921-L.jpg
358,Crimson River,Mia Moore,Russian,Science Fiction,Space Opera,Portuguese,1992,143,Cambridge Press,9783681762054,Series 17,4,3.28,,A synthetic sample description generated for dataset testing and demonstrations.,"war,identity,mystery",https://covers.openlibrary.org/b/isbn/9783681762054-L.jpg
359,Shadows River,Charlotte Martin,Swedish,Nonfiction,History,Chinese,1989,289,Cambridge Press,9781784149178,,,3.58,,A synthetic sample description generated for dataset testing and demonstrations.,"technology,magic,redemption",https://covers.openlibrary.org/b/isbn/9781784149178-L.jpg
360,Golden Garden,Noah Martinez,Irish,Science Fiction,Near-future,German,2015,442,Riverbend,9780186620988,,,3.41,,A synthetic sample description generated for dataset testing and demonstrations.,"technology,betrayal,secrets",https://covers.openlibrary.org/b/isbn/9780186620988-L.jpg
361,First Promise,Benjamin Jones,Spanish,Thriller,Spy,Italian,1988,410,Lotus Reads,9780996161381,Series 26,7,4.06,,A synthetic sample description generated for dataset testing and demonstrations.,"secrets,history,identity",https://covers.openlibrary.org/b/isbn/9780996161381-L.jpg
362,Hidden Lantern,Henry Hernandez,Mexican,Science Fiction,Near-future,Spanish,1971,239,Marea Editore,9782763097688,Series 7,1,3.37,,A synthetic sample description generated for dataset testing and demonstrations.,"technology,magic,crime",https://covers.openlibrary.org/b/isbn/9782763097688-L.jpg
363,First Lantern,Jack Jones,Canadian,Fiction,Contemporary,Korean,1974,219,HarperCollins,9789921236408,,,3.94,,A synthetic sample description generated for dataset testing and demonstrations.,"secrets,war,redemption",https://covers.openlibrary.org/b/isbn/9789921236408-L.jpg
364,Midnight Orchard,Amelia Thomas,Russian,Romance,Contemporary Romance,Korean,2007,305,Vintage,9785483488613,,,4.19,,A synthetic sample description generated for dataset testing and demonstrations.,"history,love,crime",https://covers.openlibrary.org/b/isbn/9785483488613-L.jpg
365,Broken River,Aiden Davis,Australian,Young Adult,Contemporary,Japanese,1965,539,Bloomsbury,9782141610874,,,4.62,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,technology,mystery",https://covers.openlibrary.org/b/isbn/9782141610874-L.jpg
366,Golden River,Aria Smith,American,Fantasy,Epic Fantasy,Hindi,1962,281,Penguin Random House,9785818236995,,,3.9,,A synthetic sample description generated for dataset testing and demonstrations.,"history,technology,betrayal",https://covers.openlibrary.org/b/isbn/9785818236995-L.jpg
367,Crimson Garden,Sophia Moore,French,Nonfiction,History,German,2013,704,GreenLeaf,9785655780132,,,3.79,,A synthetic sample description generated for dataset testing and demonstrations.,"love,betrayal,future",https://covers.openlibrary.org/b/isbn/9785655780132-L.jpg
368,Golden Key,Mia Lopez,Indian,Fiction,Literary Fiction,Portuguese,2013,197,Hachette,9783475489198,Series 30,4,4.44,,A synthetic sample description generated for dataset testing and demonstrations.,"magic,future,love",https://covers.openlibrary.org/b/isbn/9783475489198-L.jpg
369,Last Promise,Aiden Moore,Australian,Young Adult,Contemporary,English,1971,517,IndieWorks,9783762254591,,,3.3,,A synthetic sample description generated for dataset testing and demonstrations.,"secrets,family,identity",https://covers.openlibrary.org/b/isbn/9783762254591-L.jpg
370,Broken River,Luna Smith,Mexican,Children,Picture Book,Korean,1972,133,IndieWorks,9785188594510,,,4.66,,A synthetic sample description generated for dataset testing and demonstrations.,"magic,war,identity",https://covers.openlibrary.org/b/isbn/9785188594510-L.jpg
371,Broken River,Luna Taylor,Pakistani,Speculative,Magical Realism,Hindi,1984,471,HarperCollins,9786429591671,Series 18,6,3.91,,A synthetic sample description generated for dataset testing and demonstrations.,"history,future,betrayal",https://covers.openlibrary.org/b/isbn/9786429591671-L.jpg
372,First River,Luna Lopez,American,Fantasy,Epic Fantasy,Portuguese,1990,397,Bloomsbury,9783342684268,,,4.37,,A synthetic sample description generated for dataset testing and demonstrations.,"future,magic,war",https://covers.openlibrary.org/b/isbn/9783342684268-L.jpg
373,Midnight Orchard,Amelia Rodriguez,Mexican,Thriller,Spy,Hindi,1968,549,HarperCollins,9780640166915,,,3.61,,A synthetic sample description generated for dataset testing and demonstrations.,"war,love,betrayal",https://covers.openlibrary.org/b/isbn/9780640166915-L.jpg
374,Hidden Lantern,Mason Martinez,Indian,Horror,Gothic,Arabic,1983,609,Vintage,9787371204282,,,3.36,,A synthetic sample description generated for dataset testing and demonstrations.,"war,identity,betrayal",https://covers.openlibrary.org/b/isbn/9787371204282-L.jpg
375,Golden Compass,Isabella Brown,Pakistani,Graphic Novel,Action,Arabic,1964,571,Cambridge Press,9784177860247,Series 8,4,4.18,,A synthetic sample description generated for dataset testing and demonstrations.,"secrets,magic,love",https://covers.openlibrary.org/b/isbn/9784177860247-L.jpg
376,Golden Promise,Isabella Anderson,Nigerian,Mystery,Psychological Thriller,Spanish,1975,547,Willow Books,9786925033484,Series 22,7,3.83,,A synthetic sample description generated for dataset testing and demonstrations.,"future,magic,identity",https://covers.openlibrary.org/b/isbn/9786925033484-L.jpg
377,First House,Ethan Taylor,Canadian,Horror,Gothic,German,1964,449,Willow Books,9784128698509,,,4.48,,A synthetic sample description generated for dataset testing and demonstrations.,"magic,war,future",https://covers.openlibrary.org/b/isbn/9784128698509-L.jpg
378,Last Orchard,Emma Wilson,Chinese,Children,Picture Book,Arabic,1976,821,Praia Azul,9783630854458,,,3.65,,A synthetic sample description generated for dataset testing and demonstrations.,"love,identity,technology",https://covers.openlibrary.org/b/isbn/9783630854458-L.jpg
379,Hidden Promise,Isabella Johnson,British,Nonfiction,History,French,2002,96,Marea Editore,9784856996496,,,4.53,,A synthetic sample description generated for dataset testing and demonstrations.,"family,technology,crime",https://covers.openlibrary.org/b/isbn/9784856996496-L.jpg
380,Hidden City,James Moore,Russian,Young Adult,Contemporary,English,2002,508,Marea Editore,9788388633720,Series 26,7,3.55,,A synthetic sample description generated for dataset testing and demonstrations.,"betrayal,history,identity",https://covers.openlibrary.org/b/isbn/9788388633720-L.jpg
381,First Key,Harper Hernandez,American,Historical Fiction,War-era,Japanese,2019,712,Hachette,9781598109535,,,4.62,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,history,secrets",https://covers.openlibrary.org/b/isbn/9781598109535-L.jpg
382,Silent Orchard,James Hernandez,Australian,Poetry,Modern,Chinese,1996,507,Lotus Reads,9789921447279,Series 16,6,3.78,,A synthetic sample description generated for dataset testing and demonstrations.,"love,redemption,war",https://covers.openlibrary.org/b/isbn/9789921447279-L.jpg
383,Midnight Orchard,Noah Moore,Korean,Nonfiction,History,German,2024,389,Riverbend,9784334538637,,,4.0,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,identity,technology",https://covers.openlibrary.org/b/isbn/9784334538637-L.jpg
384,Last City,Benjamin Davis,British,Poetry,Modern,Chinese,1996,308,Willow Books,9782452881857,,,4.53,,A synthetic sample description generated for dataset testing and demonstrations.,"identity,secrets,crime",https://covers.openlibrary.org/b/isbn/9782452881857-L.jpg
385,Shadows River,Mason Hernandez,Canadian,Self-help,Personal Development,Japanese,2019,746,Simon & Schuster,9787659616899,,,3.84,,A synthetic sample description generated for dataset testing and demonstrations.,"identity,betrayal,history",https://covers.openlibrary.org/b/isbn/9787659616899-L.jpg
386,Last Lantern,Noah Thomas,Korean,Horror,Gothic,Hindi,2025,584,Riverbend,9784789721462,,,3.4,,A synthetic sample description generated for dataset testing and demonstrations.,"war,love,magic",https://covers.openlibrary.org/b/isbn/9784789721462-L.jpg
387,Shadows River,Isabella Martinez,Brazilian,Speculative,Magical Realism,Spanish,2024,691,Macmillan,9781374949539,Series 26,3,4.63,,A synthetic sample description generated for dataset testing and demonstrations.,"technology,family,adventure",https://covers.openlibrary.org/b/isbn/9781374949539-L.jpg
388,First Lantern,Henry Taylor,Brazilian,Fiction,Contemporary,Italian,1972,726,Faber & Faber,9780409480290,,,4.11,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,love,secrets",https://covers.openlibrary.org/b/isbn/9780409480290-L.jpg
389,Silent Garden,James Johnson,Chinese,Mystery,Psychological Thriller,Chinese,2011,703,HarperCollins,9784751165881,,,4.7,,A synthetic sample description generated for dataset testing and demonstrations.,"identity,redemption,family",https://covers.openlibrary.org/b/isbn/9784751165881-L.jpg
390,Last House,Lucas Jackson,Nigerian,Nonfiction,History,English,2000,475,Simon & Schuster,9787804297461,Series 17,5,3.97,,A synthetic sample description generated for dataset testing and demonstrations.,"secrets,identity,love",https://covers.openlibrary.org/b/isbn/9787804297461-L.jpg
391,Shadows Lantern,Lucas Davis,Russian,Poetry,Modern,Italian,1964,259,Oxford Press,9789892502779,,,3.93,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,redemption,family",https://covers.openlibrary.org/b/isbn/9789892502779-L.jpg
392,Broken Key,Liam Taylor,Pakistani,Horror,Gothic,English,1987,470,GreenLeaf,9780580683947,Series 29,3,4.24,,A synthetic sample description generated for dataset testing and demonstrations.,"identity,adventure,crime",https://covers.openlibrary.org/b/isbn/9780580683947-L.jpg
393,Midnight House,Isabella Miller,Korean,Fantasy,Epic Fantasy,Japanese,1957,725,Cambridge Press,9786208556303,Series 8,3,4.27,,A synthetic sample description generated for dataset testing and demonstrations.,"mystery,redemption,future",https://covers.openlibrary.org/b/isbn/9786208556303-L.jpg
394,Silent Compass,Olivia Miller,French,Fiction,Contemporary,Hindi,1981,532,Cambridge Press,9780871021854,,,3.81,,A synthetic sample description generated for dataset testing and demonstrations.,"secrets,mystery,future",https://covers.openlibrary.org/b/isbn/9780871021854-L.jpg
395,Midnight Orchard,Olivia Smith,Nigerian,Young Adult,Contemporary,French,1956,670,HarperCollins,9783462394252,,,4.19,,A synthetic sample description generated for dataset testing and demonstrations.,"mystery,technology,secrets",https://covers.openlibrary.org/b/isbn/9783462394252-L.jpg
396,Last Compass,Noah Hernandez,Russian,Self-help,Personal Development,Hindi,1985,545,Cambridge Press,9784690076415,,,3.79,,A synthetic sample description generated for dataset testing and demonstrations.,"technology,secrets,mystery",https://covers.openlibrary.org/b/isbn/9784690076415-L.jpg
397,Shadows Promise,Noah Miller,Australian,Romance,Contemporary Romance,French,1987,465,Oxford Press,9785309163199,,,4.62,,A synthetic sample description generated for dataset testing and demonstrations.,"future,adventure,family",https://covers.openlibrary.org/b/isbn/9785309163199-L.jpg
398,Shadows Thread,Luna Thomas,Mexican,Graphic Novel,Action,Korean,1991,107,IndieWorks,9784497917706,,,3.59,,A synthetic sample description generated for dataset testing and demonstrations.,"technology,mystery,adventure",https://covers.openlibrary.org/b/isbn/9784497917706-L.jpg
399,Shadows Lantern,Charlotte Rodriguez,Swedish,Mystery,Psychological Thriller,Arabic,1984,101,Macmillan,9787041246369,Series 3,3,4.13,,A synthetic sample description generated for dataset testing and demonstrations.,"magic,adventure,mystery",https://covers.openlibrary.org/b/isbn/9787041246369-L.jpg
400,Hidden Orchard,Sophia Johnson,French,Speculative,Magical Realism,French,1972,754,GreenLeaf,9789036383714,,,4.2,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,betrayal,redemption",https://covers.openlibrary.org/b/isbn/9789036383714-L.jpg
401,First House,Amelia Moore,Russian,Mystery,Psychological Thriller,Chinese,1998,877,GreenLeaf,9785195079475,Series 7,5,3.57,,A synthetic sample description generated for dataset testing and demonstrations.,"history,secrets,love",https://covers.openlibrary.org/b/isbn/9785195079475-L.jpg
402,Silent Orchard,Benjamin Brown,Russian,Mystery,Psychological Thriller,Portuguese,2008,347,Bloomsbury,9783003275354,,,3.73,,A synthetic sample description generated for dataset testing and demonstrations.,"betrayal,adventure,magic",https://covers.openlibrary.org/b/isbn/9783003275354-L.jpg
403,Last Garden,Mia Lopez,Canadian,Romance,Contemporary Romance,Arabic,2016,282,Riverbend,9781438566917,,,3.32,,A synthetic sample description generated for dataset testing and demonstrations.,"family,crime,adventure",https://covers.openlibrary.org/b/isbn/9781438566917-L.jpg
404,Broken Garden,Mason Jackson,Canadian,Graphic Novel,Action,Portuguese,2001,88,GreenLeaf,9784985710284,Series 20,6,4.32,,A synthetic sample description generated for dataset testing and demonstrations.,"technology,betrayal,secrets",https://covers.openlibrary.org/b/isbn/9784985710284-L.jpg
405,Silent Promise,Noah Garcia,Brazilian,Children,Picture Book,Korean,1951,715,Oxford Press,9781412919050,,,3.9,,A synthetic sample description generated for dataset testing and demonstrations.,"family,redemption,adventure",https://covers.openlibrary.org/b/isbn/9781412919050-L.jpg
406,Shadows Lantern,Emma Anderson,Irish,Nonfiction,History,German,2018,721,Hachette,9786887591022,,,3.51,,A synthetic sample description generated for dataset testing and demonstrations.,"magic,secrets,war",https://covers.openlibrary.org/b/isbn/9786887591022-L.jpg
407,Crimson Garden,Lucas Hernandez,Japanese,Fiction,Contemporary,Japanese,1987,617,Lotus Reads,9787136344048,Series 6,7,4.09,,A synthetic sample description generated for dataset testing and demonstrations.,"love,betrayal,identity",https://covers.openlibrary.org/b/isbn/9787136344048-L.jpg
408,First City,Mason Gonzalez,German,Fiction,Contemporary,Hindi,1972,506,Hachette,9784271688211,,,3.92,,A synthetic sample description generated for dataset testing and demonstrations.,"love,redemption,future",https://covers.openlibrary.org/b/isbn/9784271688211-L.jpg
409,Last Garden,Luna Lopez,Russian,Children,Picture Book,Spanish,1957,211,Lotus Reads,9782436135815,,,3.4,,A synthetic sample description generated for dataset testing and demonstrations.,"technology,crime,secrets",https://covers.openlibrary.org/b/isbn/9782436135815-L.jpg
410,First Garden,Henry Williams,Nigerian,Science Fiction,Near-future,Hindi,2015,270,Riverbend,9785721547010,,,4.31,,A synthetic sample description generated for dataset testing and demonstrations.,"identity,war,love",https://covers.openlibrary.org/b/isbn/9785721547010-L.jpg
411,Hidden Key,Aiden Moore,Japanese,Mystery,Psychological Thriller,Korean,1999,82,Willow Books,9783366286684,,,4.37,,A synthetic sample description generated for dataset testing and demonstrations.,"technology,history,magic",https://covers.openlibrary.org/b/isbn/9783366286684-L.jpg
412,Last Compass,Mia Moore,American,Speculative,Magical Realism,Korean,1957,790,Vintage,9780114916565,,,3.63,,A synthetic sample description generated for dataset testing and demonstrations.,"identity,betrayal,family",https://covers.openlibrary.org/b/isbn/9780114916565-L.jpg
413,First Promise,Amelia Jones,Nigerian,Poetry,Modern,Hindi,2001,553,Praia Azul,9787865832847,,,3.43,,A synthetic sample description generated for dataset testing and demonstrations.,"redemption,mystery,identity",https://covers.openlibrary.org/b/isbn/9787865832847-L.jpg
414,First River,Ethan Gonzalez,Australian,Science Fiction,Space Opera,Arabic,2006,358,NeoPress,9785015653205,,,4.62,,A synthetic sample description generated for dataset testing and demonstrations.,"war,magic,betrayal",https://covers.openlibrary.org/b/isbn/9785015653205-L.jpg
415,Broken Garden,Luna Hernandez,American,Horror,Gothic,Chinese,1994,647,Marea Editore,9789598574698,Series 13,4,3.61,,A synthetic sample description generated for dataset testing and demonstrations.,"magic,war,technology",https://covers.openlibrary.org/b/isbn/9789598574698-L.jpg
416,Golden Garden,Emma Williams,Spanish,Horror,Gothic,Japanese,1967,113,HarperCollins,9787385764352,,,3.57,,A synthetic sample description generated for dataset testing and demonstrations.,"identity,crime,history",https://covers.openlibrary.org/b/isbn/9787385764352-L.jpg
417,Golden Compass,Mia Anderson,Mexican,Science Fiction,Near-future,German,1975,792,IndieWorks,9788426594945,,,4.34,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,future,love",https://covers.openlibrary.org/b/isbn/9788426594945-L.jpg
418,Silent Thread,Aiden Martinez,Canadian,Thriller,Spy,Chinese,1995,852,Willow Books,9783022851416,Series 10,4,3.31,,A synthetic sample description generated for dataset testing and demonstrations.,"war,history,redemption",https://covers.openlibrary.org/b/isbn/9783022851416-L.jpg
419,Silent City,Amelia Martinez,Chinese,Speculative,Magical Realism,Arabic,1973,619,NeoPress,9789023706540,,,4.68,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,love,future",https://covers.openlibrary.org/b/isbn/9789023706540-L.jpg
420,Silent House,Olivia Miller,French,Horror,Gothic,English,2023,693,Cosmos Press,9785360928058,Series 28,7,3.65,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,history,family",https://covers.openlibrary.org/b/isbn/9785360928058-L.jpg
421,First River,Ethan Davis,Indian,Nonfiction,History,Portuguese,2013,147,Cambridge Press,9783816857518,,,3.48,,A synthetic sample description generated for dataset testing and demonstrations.,"secrets,betrayal,war",https://covers.openlibrary.org/b/isbn/9783816857518-L.jpg
422,First Thread,Mia Williams,Nigerian,Speculative,Magical Realism,Arabic,2007,115,NovaWorks,9782473229386,Series 2,2,4.04,,A synthetic sample description generated for dataset testing and demonstrations.,"mystery,technology,family",https://covers.openlibrary.org/b/isbn/9782473229386-L.jpg
423,Silent Compass,Lucas Johnson,British,Fantasy,Epic Fantasy,French,1963,606,Willow Books,9782904091216,,,4.19,,A synthetic sample description generated for dataset testing and demonstrations.,"future,technology,magic",https://covers.openlibrary.org/b/isbn/9782904091216-L.jpg
424,Last Thread,Ethan Hernandez,Mexican,Poetry,Modern,French,1967,531,Lotus Reads,9788875320577,,,4.62,,A synthetic sample description generated for dataset testing and demonstrations.,"history,magic,adventure",https://covers.openlibrary.org/b/isbn/9788875320577-L.jpg
425,Shadows Thread,Mia Lopez,Pakistani,Nonfiction,History,French,2019,591,Faber & Faber,9787609159995,,,4.46,,A synthetic sample description generated for dataset testing and demonstrations.,"love,technology,family",https://covers.openlibrary.org/b/isbn/9787609159995-L.jpg
426,Hidden Thread,Benjamin Johnson,Korean,Graphic Novel,Action,Italian,2021,240,Riverbend,9786322467479,,,4.63,,A synthetic sample description generated for dataset testing and demonstrations.,"love,mystery,crime",https://covers.openlibrary.org/b/isbn/9786322467479-L.jpg
427,Last Lantern,Isabella Thomas,Swedish,Mystery,Psychological Thriller,Portuguese,2020,178,Cambridge Press,9783789791031,Series 27,1,4.08,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,history,war",https://covers.openlibrary.org/b/isbn/9783789791031-L.jpg
428,Golden Thread,Aiden Wilson,Japanese,Historical Fiction,War-era,Spanish,1989,642,Vintage,9784282665102,,,3.57,,A synthetic sample description generated for dataset testing and demonstrations.,"identity,adventure,redemption",https://covers.openlibrary.org/b/isbn/9784282665102-L.jpg
429,Crimson Garden,Amelia Gonzalez,British,Self-help,Personal Development,Italian,2000,173,Riverbend,9788123050843,,,4.39,,A synthetic sample description generated for dataset testing and demonstrations.,"war,history,future",https://covers.openlibrary.org/b/isbn/9788123050843-L.jpg
